鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
內湖區,房地(土地+建物)+車位,臺北市內湖區行善路391~420號,271.11,其他,,,1050819,土地2建物1車位8,八層,八層,辦公商業大樓,見其他登記事項,見其他登記事項,1040603,1358.67,0,0,0,無,有,200213000,147360,坡道平面,0.0,0,,RPXOMLMKIILFFCA77CA
中山區,房地(土地+建物),臺北市中山區松江路91~120號,66.3,住,,,1050707,土地2建物1車位0,六層,十二層,辦公商業大樓,商業用,鋼筋混凝土造,0750324,426.31,0,0,0,無,有,97000000,227534,,0.0,0,,RPUQMLSKIILFFCA28CA
松山區,房地(土地+建物),臺北市松山區健康路91~120號,25.03,住,,,1050813,土地1建物1車位0,七層，走廊,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0680912,141.11,4,2,2,有,無,33500000,237403,,0.0,0,含增建或未登記建物。,RPOPMLTKRHLFFDA58CA
松山區,房地(土地+建物),臺北市松山區八德路三段181~210號,2.36,商,,,1050731,土地3建物1車位0,六層,十一層,套房(1房1廳1衛),見其他登記事項,鋼骨鋼筋混凝土造,0950418,30.549999999999997,1,1,1,有,有,9820000,321440,,0.0,0,含增建或未登記建物。,RPPPMLTKRHLFFDA68CA
松山區,房地(土地+建物),臺北市松山區南京東路五段91~120號,18.81,其他,,,1050816,土地1建物1車位0,四層,十二層,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0661008,151.52,2,2,2,有,有,29400000,194034,,0.0,0,,RPPNMLPLRHLFFDA18CA
南港區,房地(土地+建物)+車位,臺北市南港區重陽路451~480號,17.62,住,,,991210,土地1建物1車位2,六層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1050411,165.45,2,2,1,有,無,21750000,195442,坡道平面,77.7,4600000,1.本案為預售合約價格。2.二個車位無拆分單價。,RPWOMLRLRHLFFDA56CA
松山區,房地(土地+建物)+車位,臺北市松山區八德路四段631~660號,7.56,商,,,1050501,土地1建物1車位1,二層，三層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0951110,81.34,1,1,1,有,有,16000000,196705,坡道機械,14.18,0,,RPOPMLQLRHLFFDA38CA
松山區,房地(土地+建物),臺北市松山區松河街31~60號,8.53,商,,,1050901,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040416,86.86,2,1,1,有,有,20000000,230256,,0.0,0,,RPQOMLTLRHLFFDA78CA
松山區,房地(土地+建物),臺北市松山區健康路181~210號,27.75,住,,,1050825,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601213,79.83,2,2,2,有,無,15200000,190405,,0.0,0,,RPTNMLNJIILFFDA37CA
信義區,房地(土地+建物),臺北市信義區吳興街365巷1~30號,30.5,住,,,1050612,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,84.8,3,2,1,有,無,12100000,142689,,0.0,0,,RPOPMLOJIILFFDA17CA
信義區,房地(土地+建物),臺北市信義區虎林街104巷91~120號,44.0,住,,,1050822,土地2建物2車位0,全,三層,透天厝,住家用,加強磚造,0510201,123.51,7,0,7,有,無,15500000,125496,,0.0,0,"二親等間買賣,2棟建物打通使用",RPPQMLPJIILFFDA47CA
信義區,房地(土地+建物),臺北市信義區吳興街220巷11弄1~30號,5.49,住,,,1050817,土地1建物1車位0,六層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0810822,30.89,1,0,1,有,有,7200000,233085,,0.0,0,,RPTOMLRJIILFFDA87CA
信義區,房地(土地+建物),臺北市信義區大道路49巷1~30號,27.5,住,,,1050802,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0601213,74.38,4,2,2,有,無,13380000,179887,,0.0,0,,RPTOMLMKIILFFDA47CA
南港區,房地(土地+建物)+車位,臺北市南港區忠孝東路六段451~480號,80.75,工,,,1050830,土地2建物4車位8,七層,十一層,廠辦,工業用,鋼筋混凝土造,0800412,673.89,0,0,0,無,有,86450530,128286,坡道平面,0.0,0,,RPTNMLLLIILFFDA37CA
